EmployeeID,Branch,Tenure,Salary,Department,JobSatisfaction,WorkLifeBalance,CommuteDistance,MaritalStatus,Education,PerformanceRating,TrainingHours,OverTime,NumProjects,YearsSincePromotion,EnvironmentSatisfaction,ChurnLikelihood
23,Los Angeles,16.0,67500.0,Research and Development,4.0,4.0,Medium,Married,High School,3.6666666666666665,56.0,True,3.0,8.0,2.0,Highly Likely to Churn
24,Philadelphia,4.0,63000.0,IT Support,3.0,3.5,Long,Divorced,Bachelor,4.0,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn
25,Philadelphia,8.0,74000.0,Operations,2.0,4.0,Medium,Married,Bachelor,3.6666666666666665,30.0,True,3.0,2.0,2.0,Highly Likely to Churn
26,Miami,7.0,55000.0,Research and Development,4.0,4.5,Short,Divorced,Bachelor,4.0,24.0,True,3.0,1.0,2.0,Highly Likely to Churn
27,Seattle,6.0,64000.0,Accounting,4.0,3.920726251668263,Medium,Married,Bachelor,3.351795257684092,17.792134365057528,True,3.849695822023277,0.0,2.923242857528135,Highly Likely to Churn
28,,14.0,70500.0,Quality Assurance,4.0,4.0,Long,Married,Bachelor,3.6666666666666665,18.0,True,3.0,2.0,3.0,Moderately Likely to Churn
29,Atlanta,4.0,58000.0,Procurement,3.0,4.0,Long,Married,Bachelor,3.6666666666666665,18.0,True,3.0,0.0,2.0,Highly Likely to Churn
30,Los Angeles,4.0,65000.0,Legal,2.0,3.0,Medium,Married,Master,3.6666666666666665,,,3.0,0.0,2.0,Highly Likely to Churn
31,Scranton,3.0,40500.0,Quality Assurance,3.0,4.0,Medium,Divorced,High School,3.3333333333333335,56.0,,4.0,0.0,3.0,Moderately Likely to Churn
32,San Francisco,4.0,73500.0,Legal,3.0,3.5,Medium,Divorced,Bachelor,3.3333333333333335,18.0,True,,0.0,3.0,Moderately Likely to Churn
33,Atlanta,10.0,74000.0,Accounting,5.0,,Short,Divorced,High School,3.6666666666666665,48.0,True,3.0,2.0,2.0,Highly Likely to Churn
34,Boston,13.0,81500.0,Product Management,3.0,3.5,Long,Married,Bachelor,4.0,30.0,True,4.0,5.0,3.0,Moderately Likely to Churn
35,Los Angeles,17.0,70000.0,Research and Development,2.0,3.0,Short,Divorced,Bachelor,3.6666666666666665,6.0,,3.0,0.0,2.0,Highly Likely to Churn
36,Chicago,3.0,63000.0,Sales,5.0,4.5,Short,Single,Bachelor,4.333333333333333,36.0,True,4.0,0.0,2.0,Highly Likely to Churn
37,Boston,3.0,60000.0,Marketing,1.0,3.5,Long,Married,Bachelor,3.3333333333333335,36.0,True,4.0,0.0,3.0,Moderately Likely to Churn
38,Boston,3.0,70000.0,Research and Development,3.0,3.0,Short,Single,Bachelor,3.0,6.0,True,4.0,0.0,3.0,Moderately Likely to Churn
39,Boston,2.0,53500.0,Administration,4.0,4.5,Medium,Single,High School,4.0,88.0,True,3.0,0.0,2.0,Highly Likely to Churn
40,Denver,3.0,62500.0,Marketing,5.0,4.0,Long,Divorced,High School,3.3333333333333335,64.0,True,4.0,0.0,3.0,Highly Likely to Churn
41,Chicago,12.0,73000.0,Customer Service,4.0,3.5,Long,Single,Bachelor,3.0,30.0,True,,0.0,2.0,Highly Likely to Churn
42,Denver,12.0,71000.0,Operations,3.0,3.0,Long,Single,Bachelor,3.0,,True,4.0,3.0,2.0,Highly Likely to Churn
43,Atlanta,4.0,58000.0,Research and Development,3.0,3.5,Medium,Married,Bachelor,3.6666666666666665,,True,4.0,0.0,3.0,Highly Likely to Churn
44,Denver,3.0,72500.0,Marketing,2.0,3.5,Short,Married,Master,3.0,30.0,True,3.0,0.0,2.0,Highly Likely to Churn
45,Seattle,11.0,69000.0,Product Management,5.0,4.0,Medium,Single,Bachelor,3.6666666666666665,,True,3.0,3.0,2.0,Highly Likely to Churn
46,Scranton,3.0,49500.0,Customer Service,4.0,4.0,Long,Married,High School,3.6666666666666665,80.0,True,3.0,0.0,2.0,Highly Likely to Churn
47,San Francisco,10.0,70500.0,Public Relations,3.0,4.0,Medium,Divorced,High School,3.3333333333333335,80.0,True,4.0,3.0,3.0,Moderately Likely to Churn
48,Boston,14.0,61500.0,Procurement,3.0,4.5,Long,Married,Bachelor,3.6666666666666665,12.0,,3.0,3.0,2.0,Highly Likely to Churn
49,Chicago,8.0,66500.0,Marketing,2.0,3.5,Short,Divorced,Bachelor,3.3333333333333335,36.0,True,4.0,0.0,,Moderately Likely to Churn
50,Scranton,5.0,62000.0,Research and Development,4.0,3.0,Short,Divorced,Bachelor,3.6666666666666665,24.0,True,4.0,0.0,3.0,Moderately Likely to Churn
51,New York,4.0,64500.0,Operations,2.0,3.0,Medium,Single,High School,3.3333333333333335,24.0,True,4.0,0.0,3.0,Moderately Likely to Churn
52,Boston,7.0,76500.0,Research and Development,4.0,3.5,Medium,Single,Master,3.3333333333333335,36.0,True,3.0,1.0,2.0,Highly Likely to Churn
53,Chicago,18.0,81000.0,Accounting,5.0,3.5,Short,Divorced,Bachelor,3.6666666666666665,36.0,True,4.0,3.0,3.0,Moderately Likely to Churn
54,Seattle,7.0,60000.0,Research and Development,5.0,3.0,Short,Married,High School,3.3333333333333335,40.0,True,,0.0,2.0,Highly Likely to Churn
55,San Francisco,6.0,68500.0,Human Resources,4.0,3.186398131468881,Short,Divorced,Master,4.175277940544083,30.66950420255595,True,3.763649085892066,0.0,2.4084116610224817,Moderately Likely to Churn
56,New York,2.0,52000.0,Quality Assurance,1.0,3.5,Long,Single,High School,3.3333333333333335,40.0,True,3.0,0.0,2.0,Highly Likely to Churn
57,Scranton,4.0,62000.0,Accounting,3.0,3.0,Medium,Single,Bachelor,3.3333333333333335,,True,3.0,0.0,2.0,Highly Likely to Churn
58,Philadelphia,5.0,72500.0,Human Resources,5.0,4.0,Long,Married,Bachelor,3.6666666666666665,24.0,True,5.0,0.0,3.0,Moderately Likely to Churn
59,Miami,5.0,63500.0,Customer Service,4.0,3.0,Medium,Single,Bachelor,2.6666666666666665,12.0,True,,0.0,1.0,Highly Likely to Churn
60,Los Angeles,12.0,79000.0,Marketing,4.0,3.5,Short,Married,Bachelor,3.6666666666666665,18.0,True,4.0,2.0,3.0,Moderately Likely to Churn
61,Atlanta,8.0,59000.0,Customer Service,3.0,3.5,Medium,Single,Master,3.3333333333333335,24.0,True,3.0,,1.0,Highly Likely to Churn
62,New York,10.0,66500.0,Research and Development,5.0,3.5,Medium,Single,Bachelor,3.0,,True,4.0,0.0,2.0,Highly Likely to Churn
63,,7.0,60500.0,Public Relations,5.0,4.5,Medium,Married,Bachelor,4.333333333333333,24.0,True,5.0,1.0,3.0,Moderately Likely to Churn
64,Atlanta,6.0,62500.0,Operations,4.0,4.0,Short,Married,Bachelor,3.0,30.0,True,3.0,0.0,2.0,Highly Likely to Churn
65,Dallas,5.0,60000.0,Facilities Management,3.0,4.0,Medium,Divorced,Bachelor,3.6666666666666665,30.0,True,,0.0,3.0,Moderately Likely to Churn
66,Boston,7.0,68000.0,IT Support,2.0,3.5,Medium,Divorced,Bachelor,3.3333333333333335,24.0,True,3.0,0.0,2.0,Highly Likely to Churn
67,Philadelphia,10.0,68000.0,Facilities Management,3.0,3.5,Medium,Divorced,Master,3.0,18.0,True,3.0,3.0,2.0,Highly Likely to Churn
68,Philadelphia,11.0,78500.0,Customer Service,2.0,4.53039132337004,Short,Single,Bachelor,2.7851489977713357,18.463141058296603,True,4.825463138526716,0.0,3.259542000715463,Moderately Likely to Churn
69,Atlanta,9.0,68500.0,Public Relations,2.0,3.5,Short,Single,Bachelor,2.6666666666666665,,True,3.0,1.0,3.0,Highly Likely to Churn
70,Los Angeles,7.0,71500.0,IT Support,1.0,3.5,Medium,Single,Master,3.3333333333333335,12.0,True,5.0,0.0,3.0,Moderately Likely to Churn
71,Chicago,7.0,53500.0,Accounting,3.0,3.5,Medium,Divorced,High School,3.6666666666666665,48.0,True,4.0,1.0,4.0,Moderately Likely to Churn
72,Seattle,9.0,63000.0,Administration,4.0,4.0,Short,Married,Bachelor,4.333333333333333,36.0,True,4.0,0.0,4.0,Slightly Likely to Churn
73,San Francisco,11.0,70000.0,Human Resources,3.0,3.5,Long,Single,High School,3.3333333333333335,,True,,2.0,3.0,Moderately Likely to Churn
74,New York,4.0,72000.0,Human Resources,4.0,3.5,Long,Single,Bachelor,2.6666666666666665,24.0,True,2.0,0.0,1.0,Highly Likely to Churn
75,Philadelphia,7.0,73500.0,Research and Development,3.0,,Long,Married,Master,3.6666666666666665,,True,3.0,1.0,3.0,Moderately Likely to Churn
76,Philadelphia,4.0,48000.0,Customer Service,5.0,3.5,Medium,Divorced,Bachelor,4.0,,True,4.0,0.0,3.0,Moderately Likely to Churn
77,Scranton,7.0,59000.0,Research and Development,2.0,3.0,Long,Married,Bachelor,3.3333333333333335,,True,4.0,1.0,3.0,Moderately Likely to Churn
78,New York,5.0,62500.0,Research and Development,3.0,3.5,Medium,Married,Bachelor,3.3333333333333335,12.0,True,4.0,0.0,2.0,Highly Likely to Churn
79,Los Angeles,7.0,83000.0,Marketing,3.0,3.5,Medium,Married,Master,3.0,36.0,True,4.0,1.0,1.0,Highly Likely to Churn
80,San Francisco,2.0,70500.0,Sales,3.0,3.5,Short,Married,Bachelor,4.0,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn
81,Boston,11.0,80500.0,Research and Development,3.0,4.0,Long,Married,High School,3.0,80.0,True,4.0,4.0,2.0,Highly Likely to Churn
82,Boston,6.0,59500.0,Accounting,5.0,4.5,Short,Married,Bachelor,4.333333333333333,12.0,,2.0,0.0,3.0,Moderately Likely to Churn
83,Los Angeles,12.0,74000.0,Facilities Management,4.0,3.5,Medium,Divorced,Bachelor,3.3333333333333335,12.0,True,,1.0,2.0,Highly Likely to Churn
84,Philadelphia,6.0,71500.0,Product Management,4.0,4.0,Long,Divorced,Bachelor,3.6666666666666665,30.0,True,3.0,0.0,3.0,Moderately Likely to Churn
85,Dallas,6.0,61500.0,Customer Service,4.0,4.5,Long,Married,Bachelor,4.0,18.0,True,4.0,0.0,4.0,Slightly Likely to Churn
86,Boston,9.0,72500.0,Accounting,5.0,4.572294198545254,Medium,Married,Bachelor,4.440581931944117,29.39521992170149,True,2.9896512587773234,1.0,1.693378380709028,Highly Likely to Churn
87,Denver,9.0,63500.0,Sales,3.0,4.0,Long,Single,Bachelor,3.6666666666666665,24.0,True,3.0,3.0,2.0,Highly Likely to Churn
88,Dallas,2.0,62500.0,Legal,3.0,4.5,Medium,Single,Bachelor,3.0,12.0,True,2.0,0.0,1.0,Highly Likely to Churn
89,Dallas,9.0,63500.0,Quality Assurance,5.0,4.0,Medium,Single,Bachelor,4.0,,True,4.0,3.0,2.0,Highly Likely to Churn
90,Denver,12.0,73000.0,IT Support,3.0,4.0,Medium,Divorced,Bachelor,3.3333333333333335,24.0,True,,1.0,3.0,Highly Likely to Churn
91,Boston,10.0,68000.0,Research and Development,5.0,4.0,Long,Married,Bachelor,3.6666666666666665,12.0,True,4.0,3.0,3.0,Moderately Likely to Churn
92,Denver,3.0,65000.0,Customer Service,3.0,4.5,Medium,Married,Bachelor,3.6666666666666665,,True,4.0,0.0,3.0,Highly Likely to Churn
93,Scranton,7.0,67000.0,Sales,4.0,3.5,Medium,Divorced,Master,3.3333333333333335,24.0,True,3.0,0.0,2.0,Highly Likely to Churn
94,Los Angeles,10.0,73500.0,Customer Service,3.0,4.5,Long,Divorced,Bachelor,3.0,24.0,True,2.0,4.0,1.0,Highly Likely to Churn
95,San Francisco,11.0,76500.0,Sales,2.0,3.0,Short,Married,High School,3.3333333333333335,64.0,True,4.0,3.0,,Moderately Likely to Churn
96,New York,18.0,83500.0,Sales,4.0,3.0,Short,Married,High School,3.6666666666666665,40.0,True,3.0,11.0,2.0,Highly Likely to Churn
97,Denver,6.0,52500.0,Customer Service,5.0,4.5,Medium,Divorced,High School,3.6666666666666665,56.0,True,4.0,0.0,3.0,Highly Likely to Churn
98,Los Angeles,8.0,68500.0,Customer Service,2.0,4.0,Short,Divorced,High School,3.6666666666666665,80.0,True,2.0,1.0,2.0,Highly Likely to Churn
99,Philadelphia,13.0,61500.0,Customer Service,5.0,4.0,Short,Single,High School,3.6666666666666665,32.0,True,4.0,0.0,2.0,Highly Likely to Churn
100,Atlanta,8.0,62500.0,Research and Development,3.0,3.5,Long,Single,Bachelor,3.0,18.0,True,3.0,0.0,3.0,Highly Likely to Churn
101,Chicago,16.0,80500.0,Sales,2.0,3.0,Medium,Married,Bachelor,3.0,30.0,True,3.0,3.0,2.0,Highly Likely to Churn
102,Scranton,5.0,66000.0,Research and Development,5.0,4.5,Long,Divorced,Bachelor,3.6666666666666665,18.0,True,2.0,0.0,2.0,Highly Likely to Churn
103,Scranton,9.0,55000.0,Research and Development,3.0,4.0,Medium,Divorced,High School,3.6666666666666665,40.0,True,4.0,0.0,3.0,Moderately Likely to Churn
104,New York,7.0,73000.0,Product Management,2.0,3.0,Short,Married,Bachelor,3.0,,True,4.0,0.0,2.0,Highly Likely to Churn
105,Denver,5.0,57000.0,Customer Service,3.0,2.5,Short,Single,Bachelor,2.0,12.0,True,2.0,0.0,1.0,Highly Likely to Churn
106,Atlanta,12.0,74000.0,Accounting,2.0,4.0,Medium,Married,Bachelor,3.3333333333333335,18.0,True,3.0,5.0,2.0,Highly Likely to Churn
107,Philadelphia,3.0,65000.0,Product Management,4.0,4.0,Long,Married,Bachelor,3.6666666666666665,30.0,True,3.0,0.0,2.0,Highly Likely to Churn
108,Los Angeles,14.0,74000.0,Accounting,1.0,3.5,Medium,Married,Bachelor,3.3333333333333335,,True,4.0,1.0,2.0,Highly Likely to Churn
109,Los Angeles,5.0,64500.0,Operations,5.0,3.5,Short,Married,Bachelor,3.0,,True,3.0,0.0,2.0,Highly Likely to Churn
110,New York,5.0,78500.0,Marketing,2.0,3.92746805070278,Short,Married,Bachelor,2.7672788904397323,11.115533942607144,True,2.885854813276497,0.0,1.4593589508606644,Highly Likely to Churn
111,Denver,6.0,65500.0,Legal,3.0,4.0,Short,Single,Bachelor,3.3333333333333335,6.0,True,3.0,0.0,1.0,Highly Likely to Churn
112,Boston,8.0,69500.0,Sales,3.0,4.5,Short,Married,Bachelor,4.0,30.0,True,3.0,0.0,2.0,Highly Likely to Churn
113,New York,8.0,75000.0,Research and Development,5.0,4.0,Medium,Married,Bachelor,4.333333333333333,6.0,True,,2.0,4.0,Slightly Likely to Churn
114,Philadelphia,11.0,72500.0,Accounting,4.0,4.0,Medium,Single,Bachelor,3.3333333333333335,24.0,True,3.0,4.0,2.0,Highly Likely to Churn
115,San Francisco,14.0,70000.0,Research and Development,3.0,2.5,Short,Divorced,Bachelor,3.3333333333333335,30.0,True,4.0,2.0,3.0,Moderately Likely to Churn
116,Scranton,10.0,67500.0,Sales,5.0,3.5,Long,Single,High School,3.0,96.0,True,4.0,4.0,3.0,Moderately Likely to Churn
117,San Francisco,9.0,66000.0,Customer Service,3.0,4.0,Long,Divorced,High School,3.6666666666666665,56.0,True,4.0,1.0,3.0,Moderately Likely to Churn
118,Los Angeles,3.0,60500.0,Human Resources,5.0,4.0,Short,Divorced,High School,3.3333333333333335,88.0,,4.0,0.0,2.0,Highly Likely to Churn
119,Seattle,12.0,65500.0,Product Management,2.0,3.5,Short,Single,Bachelor,4.0,12.0,True,3.0,2.0,3.0,Moderately Likely to Churn
120,Miami,11.0,65500.0,Human Resources,5.0,4.5,Long,Married,Bachelor,4.0,6.0,True,3.0,3.0,,Highly Likely to Churn
121,Philadelphia,13.0,86000.0,Procurement,,4.0,Short,Single,High School,3.6666666666666665,80.0,True,3.0,4.0,2.0,Highly Likely to Churn
122,Boston,4.0,62000.0,Customer Service,3.0,3.0,Medium,Married,Bachelor,,30.0,True,3.0,0.0,2.0,Highly Likely to Churn
123,Los Angeles,8.0,66000.0,Marketing,4.0,3.5,Short,Married,Bachelor,3.6666666666666665,18.0,True,4.0,2.0,2.0,Highly Likely to Churn
124,Scranton,7.0,52500.0,Human Resources,3.0,4.5,Short,Divorced,High School,4.0,64.0,True,3.0,0.0,3.0,Moderately Likely to Churn
125,Los Angeles,7.0,70500.0,Human Resources,5.0,4.0,Long,Married,High School,4.0,48.0,True,4.0,0.0,3.0,Moderately Likely to Churn
126,Boston,7.0,66000.0,Product Management,3.0,4.0,Long,Married,Bachelor,3.3333333333333335,18.0,True,3.0,1.0,2.0,Highly Likely to Churn
127,Los Angeles,12.0,84500.0,Sales,3.0,3.5,Medium,Married,Bachelor,4.0,18.0,True,4.0,4.0,4.0,Moderately Likely to Churn
128,Los Angeles,15.0,77000.0,Accounting,5.0,4.0,Long,Single,High School,3.6666666666666665,64.0,True,3.0,5.0,3.0,Moderately Likely to Churn
129,Chicago,7.0,79000.0,Marketing,4.0,3.5,Short,Single,Master,4.333333333333333,24.0,True,4.0,1.0,4.0,Slightly Likely to Churn
130,Seattle,8.0,67000.0,Public Relations,4.0,3.5,Medium,Married,High School,3.3333333333333335,72.0,,3.0,1.0,2.0,Highly Likely to Churn
131,Philadelphia,4.0,68500.0,Marketing,4.0,3.5,Medium,Single,Bachelor,3.6666666666666665,36.0,True,3.0,0.0,3.0,Moderately Likely to Churn
132,Scranton,9.0,56500.0,Customer Service,3.0,3.5,Medium,Single,Bachelor,3.6666666666666665,12.0,True,3.0,2.0,,Highly Likely to Churn
133,San Francisco,9.0,79000.0,Sales,2.0,3.5,Medium,Single,Bachelor,3.3333333333333335,36.0,True,4.0,2.0,2.0,Highly Likely to Churn
134,Denver,3.0,54000.0,Customer Service,4.0,3.0,Medium,Single,High School,3.3333333333333335,48.0,True,4.0,0.0,2.0,Highly Likely to Churn
135,Los Angeles,3.0,67500.0,Facilities Management,1.0,2.5,Short,Married,Master,2.6666666666666665,12.0,,4.0,0.0,3.0,Moderately Likely to Churn
136,Dallas,8.0,72500.0,Legal,4.0,3.5,Long,Married,Bachelor,3.3333333333333335,30.0,True,3.0,2.0,2.0,Highly Likely to Churn
137,Los Angeles,2.0,57000.0,Human Resources,,4.0,Short,Married,Bachelor,4.0,18.0,True,2.0,0.0,2.0,Highly Likely to Churn
138,New York,5.0,70000.0,Research and Development,3.0,,Short,Married,Bachelor,3.3333333333333335,18.0,True,4.0,0.0,3.0,Moderately Likely to Churn
139,San Francisco,9.0,66000.0,Operations,4.0,3.0,Short,Married,Bachelor,3.0,24.0,True,4.0,0.0,3.0,Moderately Likely to Churn
140,Philadelphia,5.0,60000.0,Customer Service,4.0,4.0,Short,Divorced,Bachelor,3.6666666666666665,18.0,True,5.0,0.0,4.0,Slightly Likely to Churn
141,Chicago,1.0,67000.0,Marketing,4.0,4.0,Long,Divorced,Bachelor,3.0,18.0,True,2.0,0.0,2.0,Highly Likely to Churn
142,San Francisco,3.0,84500.0,Sales,4.0,3.5,Short,Married,Bachelor,3.0,12.0,True,3.0,0.0,3.0,Moderately Likely to Churn
143,New York,8.0,60500.0,Facilities Management,3.0,3.5,Medium,Single,High School,3.6666666666666665,40.0,True,4.0,1.0,4.0,Moderately Likely to Churn
144,San Francisco,10.0,82000.0,Sales,2.0,3.5,Medium,Married,High School,3.3333333333333335,80.0,True,3.0,3.0,2.0,Highly Likely to Churn
145,Boston,6.0,65500.0,Sales,3.0,4.0,Medium,Divorced,Bachelor,3.3333333333333335,,True,,0.0,3.0,Moderately Likely to Churn
146,Los Angeles,5.0,49500.0,Quality Assurance,3.0,4.0,Short,Married,High School,4.0,56.0,True,4.0,0.0,3.0,Moderately Likely to Churn
147,New York,24.0,79500.0,Research and Development,2.0,3.5,Medium,Married,High School,3.6666666666666665,80.0,True,3.0,11.0,2.0,Highly Likely to Churn
148,San Francisco,13.0,77500.0,Accounting,5.0,4.0,Long,Divorced,Bachelor,4.0,12.0,True,5.0,3.0,4.0,Slightly Likely to Churn
149,Scranton,3.0,62500.0,Accounting,2.0,3.518910817899005,Long,Divorced,Master,3.3860815545286402,,True,4.387893748330009,0.0,1.9503080645826243,Highly Likely to Churn
150,San Francisco,10.0,63000.0,Product Management,3.0,4.5,Short,Married,High School,3.6666666666666665,48.0,True,3.0,3.0,3.0,Moderately Likely to Churn
151,Philadelphia,6.0,70000.0,Research and Development,3.0,4.0664653896784895,Short,Married,Bachelor,4.037931621821137,23.69463024144574,True,3.7187182511229917,0.0,4.196881420524662,Moderately Likely to Churn
152,Scranton,8.0,58500.0,Research and Development,3.0,4.0,Medium,Married,High School,4.0,,True,4.0,1.0,3.0,Moderately Likely to Churn
153,Chicago,8.0,55000.0,Marketing,2.0,4.5,Long,Divorced,High School,3.3333333333333335,,True,3.0,0.0,3.0,Moderately Likely to Churn
154,New York,4.0,71500.0,Product Management,2.0,3.5,Medium,Married,Bachelor,3.6666666666666665,6.0,True,4.0,0.0,3.0,Moderately Likely to Churn
155,Boston,6.0,56000.0,Research and Development,3.0,4.0,Short,Married,Bachelor,3.6666666666666665,30.0,True,3.0,0.0,1.0,Highly Likely to Churn
156,Atlanta,6.0,77000.0,Sales,3.0,3.5,Medium,Single,Bachelor,2.6666666666666665,,True,3.0,0.0,2.0,Highly Likely to Churn
157,Boston,7.0,59500.0,Marketing,4.0,4.0,Short,Married,Bachelor,3.6666666666666665,12.0,True,3.0,1.0,,Highly Likely to Churn
158,Philadelphia,2.0,63000.0,Human Resources,4.0,3.5,Medium,Divorced,Bachelor,3.3333333333333335,12.0,True,4.0,0.0,3.0,Moderately Likely to Churn
159,Chicago,20.0,86500.0,Product Management,3.0,3.5,Medium,Divorced,Bachelor,4.0,12.0,True,4.0,9.0,2.0,Highly Likely to Churn
160,Denver,3.0,61000.0,Marketing,3.0,3.5,Medium,Married,Bachelor,4.333333333333333,18.0,True,4.0,0.0,4.0,Highly Likely to Churn
161,Atlanta,10.0,63500.0,Marketing,3.0,3.0,Short,Married,High School,3.6666666666666665,48.0,True,4.0,3.0,3.0,Highly Likely to Churn
162,Scranton,8.0,52500.0,Quality Assurance,4.0,4.5,Long,Married,Bachelor,4.0,24.0,True,4.0,0.0,3.0,Moderately Likely to Churn
163,Boston,13.0,78000.0,Marketing,4.0,4.0,Medium,Divorced,Bachelor,4.0,18.0,True,5.0,2.0,4.0,Slightly Likely to Churn
164,Philadelphia,13.0,68500.0,Administration,3.0,,Long,Married,Bachelor,3.6666666666666665,30.0,True,4.0,4.0,3.0,Moderately Likely to Churn
165,New York,7.0,67000.0,Marketing,2.0,3.5,Short,Married,Bachelor,3.6666666666666665,12.0,True,3.0,0.0,2.0,Highly Likely to Churn
166,San Francisco,23.0,98000.0,Accounting,3.0,3.5,Medium,Married,Master,3.3333333333333335,24.0,True,3.0,8.0,2.0,Highly Likely to Churn
167,Atlanta,9.0,53500.0,Operations,5.0,4.5,Long,Married,High School,3.6666666666666665,64.0,True,3.0,1.0,2.0,Highly Likely to Churn
168,Philadelphia,14.0,78500.0,Sales,5.0,4.0,Short,Married,Bachelor,3.6666666666666665,24.0,True,4.0,3.0,3.0,Moderately Likely to Churn
169,New York,6.0,73000.0,Facilities Management,2.0,4.0,Medium,Married,Bachelor,4.0,12.0,True,3.0,0.0,3.0,Moderately Likely to Churn
170,Chicago,12.0,65500.0,Research and Development,4.0,4.0,Short,Divorced,Bachelor,3.3333333333333335,6.0,True,3.0,0.0,2.0,Highly Likely to Churn
171,Chicago,7.0,71000.0,Sales,4.0,3.0,Short,Divorced,Bachelor,3.3333333333333335,,True,,1.0,3.0,Moderately Likely to Churn
172,Boston,13.0,71000.0,Sales,5.0,4.5,Short,Married,High School,4.0,40.0,True,5.0,2.0,5.0,Slightly Likely to Churn
173,Boston,13.0,74500.0,IT Support,2.0,4.5,Medium,Married,Bachelor,4.0,36.0,True,4.0,0.0,4.0,Moderately Likely to Churn
174,Los Angeles,4.0,68000.0,Customer Service,2.0,3.5,Short,Married,Bachelor,4.0,6.0,True,4.0,0.0,3.0,Moderately Likely to Churn
175,Philadelphia,7.0,66000.0,Legal,5.0,4.0,Long,Married,Bachelor,4.0,18.0,True,4.0,1.0,3.0,Moderately Likely to Churn
176,Atlanta,6.0,64000.0,Procurement,2.0,3.5,Medium,Single,Bachelor,3.3333333333333335,30.0,True,5.0,0.0,3.0,Highly Likely to Churn
