;Branch;Tenure;Salary;Department;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood
38;Boston;2,0000;53500;Administration;4;4;Medium;Single;High School;4;63,0000;Yes;3;0;2;Highly Likely to Churn'
39;Denver;3,0000;62500;Marketing;5;4;Long;Divorced;High School;3;63,0000;Yes;4;0;3;Highly Likely to Churn'
40;Chicago;12,0000;73000;Customer Service;4;4;Long;Single;Bachelor;3;30,0000;Yes;3,5;0;2;Highly Likely to Churn'
41;Denver;12,0000;71000;Operations;3;3;Long;Single;Bachelor;3;34,6456;Yes;4;3;2;Highly Likely to Churn'
42;Atlanta;4,0000;58000;Research and Development;3;4;Medium;Married;Bachelor;4;34,6456;Yes;4;0;3;Highly Likely to Churn'
43;Denver;3,0000;72500;Marketing;2;4;Short;Married;Master;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
44;Seattle;11,0000;69000;Product Management;5;4;Medium;Single;Bachelor;4;34,6456;Yes;3;3;2;Highly Likely to Churn'
45;Scranton;3,0000;49500;Customer Service;4;4;Long;Married;High School;4;63,0000;Yes;3;0;2;Highly Likely to Churn'
46;San Francisco;10,0000;70500;Public Relations;3;4;Medium;Divorced;High School;3;63,0000;Yes;4;3;3;Moderately Likely to Churn
47;Boston;14,0000;61500;Procurement;3;4;Long;Married;Bachelor;4;12,0000;Yes;3;3;2;Highly Likely to Churn'
48;Chicago;8,0000;66500;Marketing;2;4;Short;Divorced;Bachelor;3;36,0000;Yes;4;0;3;Moderately Likely to Churn
49;Scranton;5,0000;62000;Research and Development;4;3;Short;Divorced;Bachelor;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
50;New York;4,0000;64500;Operations;2;3;Medium;Single;High School;3;24,0000;Yes;4;0;3;Moderately Likely to Churn
51;Boston;7,0000;76500;Research and Development;4;4;Medium;Single;Master;3;36,0000;Yes;3;1;2;Highly Likely to Churn'
52;Chicago;17,5000;81000;Accounting;5;4;Short;Divorced;Bachelor;4;36,0000;Yes;4;3;3;Moderately Likely to Churn
53;Seattle;7,0000;60000;Research and Development;5;3;Short;Married;High School;3;40,0000;Yes;3,5;0;2;Highly Likely to Churn'
54;San Francisco;6,0000;68500;Human Resources;4;3;Short;Divorced;Master;4;30,6695;Yes;4;0;2;Moderately Likely to Churn
55;New York;2,0000;52000;Quality Assurance;1;4;Long;Single;High School;3;40,0000;Yes;3;0;2;Highly Likely to Churn'
56;Scranton;4,0000;62000;Accounting;3;3;Medium;Single;Bachelor;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
57;Philadelphia;5,0000;72500;Human Resources;5;4;Long;Married;Bachelor;4;24,0000;Yes;5;0;3;Moderately Likely to Churn
58;Miami;5,0000;63500;Customer Service;4;3;Medium;Single;Bachelor;3;12,0000;Yes;3,5;0;1;Highly Likely to Churn'
59;Los Angeles;12,0000;79000;Marketing;4;4;Short;Married;Bachelor;4;18,0000;Yes;4;2;3;Moderately Likely to Churn
60;Atlanta;8,0000;59000;Customer Service;3;4;Medium;Single;Master;3;24,0000;Yes;3;0;1;Highly Likely to Churn'
61;New York;10,0000;66500;Research and Development;5;4;Medium;Single;Bachelor;3;34,6456;Yes;4;0;2;Highly Likely to Churn'
62;Unknown;7,0000;60500;Public Relations;5;4;Medium;Married;Bachelor;4;24,0000;Yes;5;1;3;Moderately Likely to Churn
63;Atlanta;6,0000;62500;Operations;4;4;Short;Married;Bachelor;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
64;Dallas;5,0000;60000;Facilities Management;3;4;Medium;Divorced;Bachelor;4;30,0000;Yes;3,5;0;3;Moderately Likely to Churn
65;Boston;7,0000;68000;IT Support;2;4;Medium;Divorced;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
66;Philadelphia;10,0000;68000;Facilities Management;3;4;Medium;Divorced;Master;3;18,0000;Yes;3;3;2;Highly Likely to Churn'
67;Philadelphia;11,0000;78500;Customer Service;2;5;Short;Single;Bachelor;3;18,4631;Yes;5;0;3;Moderately Likely to Churn
68;Atlanta;9,0000;68500;Public Relations;2;4;Short;Single;Bachelor;3;34,6456;Yes;3;1;3;Highly Likely to Churn'
69;Los Angeles;7,0000;71500;IT Support;1;4;Medium;Single;Master;3;12,0000;Yes;5;0;3;Moderately Likely to Churn
70;Chicago;7,0000;53500;Accounting;3;4;Medium;Divorced;High School;4;48,0000;Yes;4;1;4;Moderately Likely to Churn
71;Seattle;9,0000;63000;Administration;4;4;Short;Married;Bachelor;4;36,0000;Yes;4;0;4;Moderately Likely to Churn
72;San Francisco;11,0000;70000;Human Resources;3;4;Long;Single;High School;3;34,6456;Yes;3,5;2;3;Moderately Likely to Churn
73;New York;4,0000;72000;Human Resources;4;4;Long;Single;Bachelor;3;24,0000;Yes;2;0;1;Highly Likely to Churn'
74;Philadelphia;7,0000;73500;Research and Development;3;4;Long;Married;Master;4;34,6456;Yes;3;1;3;Moderately Likely to Churn
75;Philadelphia;4,0000;48000;Customer Service;5;4;Medium;Divorced;Bachelor;4;34,6456;Yes;4;0;3;Moderately Likely to Churn
76;Scranton;7,0000;59000;Research and Development;2;3;Long;Married;Bachelor;3;34,6456;Yes;4;1;3;Moderately Likely to Churn
77;New York;5,0000;62500;Research and Development;3;4;Medium;Married;Bachelor;3;12,0000;Yes;4;0;2;Highly Likely to Churn'
78;Los Angeles;7,0000;83000;Marketing;3;4;Medium;Married;Master;3;36,0000;Yes;4;1;1;Highly Likely to Churn'
79;San Francisco;2,0000;70500;Sales;3;4;Short;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
80;Boston;11,0000;80500;Research and Development;3;4;Long;Married;High School;3;63,0000;Yes;4;4;2;Highly Likely to Churn'
81;Boston;6,0000;59500;Accounting;5;4;Short;Married;Bachelor;4;12,0000;Yes;2;0;3;Moderately Likely to Churn
82;Los Angeles;12,0000;74000;Facilities Management;4;4;Medium;Divorced;Bachelor;3;12,0000;Yes;3,5;1;2;Highly Likely to Churn'
83;Philadelphia;6,0000;71500;Product Management;4;4;Long;Divorced;Bachelor;4;30,0000;Yes;3;0;3;Moderately Likely to Churn
84;Dallas;6,0000;61500;Customer Service;4;4;Long;Married;Bachelor;4;18,0000;Yes;4;0;4;Moderately Likely to Churn
85;Boston;9,0000;72500;Accounting;5;5;Medium;Married;Bachelor;4;29,3952;Yes;3;1;2;Highly Likely to Churn'
86;Denver;9,0000;63500;Sales;3;4;Long;Single;Bachelor;4;24,0000;Yes;3;3;2;Highly Likely to Churn'
87;Dallas;2,0000;62500;Legal;3;4;Medium;Single;Bachelor;3;12,0000;Yes;2;0;1;Highly Likely to Churn'
88;Dallas;9,0000;63500;Quality Assurance;5;4;Medium;Single;Bachelor;4;34,6456;Yes;4;3;2;Highly Likely to Churn'
89;Denver;12,0000;73000;IT Support;3;4;Medium;Divorced;Bachelor;3;24,0000;Yes;3,5;1;3;Highly Likely to Churn'
90;Boston;10,0000;68000;Research and Development;5;4;Long;Married;Bachelor;4;12,0000;Yes;4;3;3;Moderately Likely to Churn
91;Denver;3,0000;65000;Customer Service;3;4;Medium;Married;Bachelor;4;34,6456;Yes;4;0;3;Highly Likely to Churn'
92;Scranton;7,0000;67000;Sales;4;4;Medium;Divorced;Master;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
93;Los Angeles;10,0000;73500;Customer Service;3;4;Long;Divorced;Bachelor;3;24,0000;Yes;2;4;1;Highly Likely to Churn'
94;San Francisco;11,0000;76500;Sales;2;3;Short;Married;High School;3;63,0000;Yes;4;3;3;Moderately Likely to Churn
95;New York;17,5000;83500;Sales;4;3;Short;Married;High School;4;40,0000;Yes;3;5;2;Highly Likely to Churn'
96;Denver;6,0000;52500;Customer Service;5;4;Medium;Divorced;High School;4;56,0000;Yes;4;0;3;Highly Likely to Churn'
97;Los Angeles;8,0000;68500;Customer Service;2;4;Short;Divorced;High School;4;63,0000;Yes;2;1;2;Highly Likely to Churn'
98;Philadelphia;13,0000;61500;Customer Service;5;4;Short;Single;High School;4;32,0000;Yes;4;0;2;Highly Likely to Churn'
99;Atlanta;8,0000;62500;Research and Development;3;4;Long;Single;Bachelor;3;18,0000;Yes;3;0;3;Highly Likely to Churn'
100;Chicago;16,0000;80500;Sales;2;3;Medium;Married;Bachelor;3;30,0000;Yes;3;3;2;Highly Likely to Churn'
101;Scranton;5,0000;66000;Research and Development;5;4;Long;Divorced;Bachelor;4;18,0000;Yes;2;0;2;Highly Likely to Churn'
102;Scranton;9,0000;55000;Research and Development;3;4;Medium;Divorced;High School;4;40,0000;Yes;4;0;3;Moderately Likely to Churn
103;New York;7,0000;73000;Product Management;2;3;Short;Married;Bachelor;3;34,6456;Yes;4;0;2;Highly Likely to Churn'
104;Denver;5,0000;57000;Customer Service;3;2;Short;Single;Bachelor;2;12,0000;Yes;2;0;1;Highly Likely to Churn'
105;Atlanta;12,0000;74000;Accounting;2;4;Medium;Married;Bachelor;3;18,0000;Yes;3;5;2;Highly Likely to Churn'
106;Philadelphia;3,0000;65000;Product Management;4;4;Long;Married;Bachelor;4;30,0000;Yes;3;0;2;Highly Likely to Churn'
107;Los Angeles;14,0000;74000;Accounting;1;4;Medium;Married;Bachelor;3;34,6456;Yes;4;1;2;Highly Likely to Churn'
108;Los Angeles;5,0000;64500;Operations;5;4;Short;Married;Bachelor;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
109;New York;5,0000;78500;Marketing;2;4;Short;Married;Bachelor;3;11,1155;Yes;3;0;1;Highly Likely to Churn'
110;Denver;6,0000;65500;Legal;3;4;Short;Single;Bachelor;3;6,0000;Yes;3;0;1;Highly Likely to Churn'
111;Boston;8,0000;69500;Sales;3;4;Short;Married;Bachelor;4;30,0000;Yes;3;0;2;Highly Likely to Churn'
112;New York;8,0000;75000;Research and Development;5;4;Medium;Married;Bachelor;4;6,0000;Yes;3,5;2;4;Moderately Likely to Churn
113;Philadelphia;11,0000;72500;Accounting;4;4;Medium;Single;Bachelor;3;24,0000;Yes;3;4;2;Highly Likely to Churn'
114;San Francisco;14,0000;70000;Research and Development;3;2;Short;Divorced;Bachelor;3;30,0000;Yes;4;2;3;Moderately Likely to Churn
115;Scranton;10,0000;67500;Sales;5;4;Long;Single;High School;3;63,0000;Yes;4;4;3;Moderately Likely to Churn
116;San Francisco;9,0000;66000;Customer Service;3;4;Long;Divorced;High School;4;56,0000;Yes;4;1;3;Moderately Likely to Churn
117;Los Angeles;3,0000;60500;Human Resources;5;4;Short;Divorced;High School;3;63,0000;Yes;4;0;2;Highly Likely to Churn'
118;Seattle;12,0000;65500;Product Management;2;4;Short;Single;Bachelor;4;12,0000;Yes;3;2;3;Moderately Likely to Churn
119;Miami;11,0000;65500;Human Resources;5;4;Long;Married;Bachelor;4;6,0000;Yes;3;3;3;Highly Likely to Churn'
120;Philadelphia;13,0000;86000;Procurement;3;4;Short;Single;High School;4;63,0000;Yes;3;4;2;Highly Likely to Churn'
121;Boston;4,0000;62000;Customer Service;3;3;Medium;Married;Bachelor;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
122;Los Angeles;8,0000;66000;Marketing;4;4;Short;Married;Bachelor;4;18,0000;Yes;4;2;2;Highly Likely to Churn'
123;Scranton;7,0000;52500;Human Resources;3;4;Short;Divorced;High School;4;63,0000;Yes;3;0;3;Moderately Likely to Churn
124;Los Angeles;7,0000;70500;Human Resources;5;4;Long;Married;High School;4;48,0000;Yes;4;0;3;Moderately Likely to Churn
125;Boston;7,0000;66000;Product Management;3;4;Long;Married;Bachelor;3;18,0000;Yes;3;1;2;Highly Likely to Churn'
126;Los Angeles;12,0000;84500;Sales;3;4;Medium;Married;Bachelor;4;18,0000;Yes;4;4;4;Moderately Likely to Churn
127;Los Angeles;15,0000;77000;Accounting;5;4;Long;Single;High School;4;63,0000;Yes;3;5;3;Moderately Likely to Churn
128;Chicago;7,0000;79000;Marketing;4;4;Short;Single;Master;4;24,0000;Yes;4;1;4;Moderately Likely to Churn
129;Seattle;8,0000;67000;Public Relations;4;4;Medium;Married;High School;3;63,0000;Yes;3;1;2;Highly Likely to Churn'
130;Philadelphia;4,0000;68500;Marketing;4;4;Medium;Single;Bachelor;4;36,0000;Yes;3;0;3;Moderately Likely to Churn
131;Scranton;9,0000;56500;Customer Service;3;4;Medium;Single;Bachelor;4;12,0000;Yes;3;2;3;Highly Likely to Churn'
132;San Francisco;9,0000;79000;Sales;2;4;Medium;Single;Bachelor;3;36,0000;Yes;4;2;2;Highly Likely to Churn'
133;Denver;3,0000;54000;Customer Service;4;3;Medium;Single;High School;3;48,0000;Yes;4;0;2;Highly Likely to Churn'
134;Los Angeles;3,0000;67500;Facilities Management;1;2;Short;Married;Master;3;12,0000;Yes;4;0;3;Moderately Likely to Churn
135;Dallas;8,0000;72500;Legal;4;4;Long;Married;Bachelor;3;30,0000;Yes;3;2;2;Highly Likely to Churn'
136;Los Angeles;2,0000;57000;Human Resources;3;4;Short;Married;Bachelor;4;18,0000;Yes;2;0;2;Highly Likely to Churn'
137;New York;5,0000;70000;Research and Development;3;4;Short;Married;Bachelor;3;18,0000;Yes;4;0;3;Moderately Likely to Churn
138;San Francisco;9,0000;66000;Operations;4;3;Short;Married;Bachelor;3;24,0000;Yes;4;0;3;Moderately Likely to Churn
139;Philadelphia;5,0000;60000;Customer Service;4;4;Short;Divorced;Bachelor;4;18,0000;Yes;5;0;4;Moderately Likely to Churn
140;Chicago;1,0000;67000;Marketing;4;4;Long;Divorced;Bachelor;3;18,0000;Yes;2;0;2;Highly Likely to Churn'
141;San Francisco;3,0000;84500;Sales;4;4;Short;Married;Bachelor;3;12,0000;Yes;3;0;3;Moderately Likely to Churn
142;New York;8,0000;60500;Facilities Management;3;4;Medium;Single;High School;4;40,0000;Yes;4;1;4;Moderately Likely to Churn
143;San Francisco;10,0000;82000;Sales;2;4;Medium;Married;High School;3;63,0000;Yes;3;3;2;Highly Likely to Churn'
144;Boston;6,0000;65500;Sales;3;4;Medium;Divorced;Bachelor;3;34,6456;Yes;3,5;0;3;Moderately Likely to Churn
145;Los Angeles;5,0000;49500;Quality Assurance;3;4;Short;Married;High School;4;56,0000;Yes;4;0;3;Moderately Likely to Churn
146;New York;17,5000;79500;Research and Development;2;4;Medium;Married;High School;4;63,0000;Yes;3;5;2;Highly Likely to Churn'
147;San Francisco;13,0000;77500;Accounting;5;4;Long;Divorced;Bachelor;4;12,0000;Yes;5;3;4;Moderately Likely to Churn
148;Scranton;3,0000;62500;Accounting;2;4;Long;Divorced;Master;3;34,6456;Yes;4;0;2;Highly Likely to Churn'
149;San Francisco;10,0000;63000;Product Management;3;4;Short;Married;High School;4;48,0000;Yes;3;3;3;Moderately Likely to Churn
150;Philadelphia;6,0000;70000;Research and Development;3;4;Short;Married;Bachelor;4;23,6946;Yes;4;0;4;Moderately Likely to Churn
151;Scranton;8,0000;58500;Research and Development;3;4;Medium;Married;High School;4;34,6456;Yes;4;1;3;Moderately Likely to Churn
152;Chicago;8,0000;55000;Marketing;2;4;Long;Divorced;High School;3;34,6456;Yes;3;0;3;Moderately Likely to Churn
153;New York;4,0000;71500;Product Management;2;4;Medium;Married;Bachelor;4;6,0000;Yes;4;0;3;Moderately Likely to Churn
154;Boston;6,0000;56000;Research and Development;3;4;Short;Married;Bachelor;4;30,0000;Yes;3;0;1;Highly Likely to Churn'
155;Atlanta;6,0000;77000;Sales;3;4;Medium;Single;Bachelor;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
156;Boston;7,0000;59500;Marketing;4;4;Short;Married;Bachelor;4;12,0000;Yes;3;1;3;Highly Likely to Churn'
157;Philadelphia;2,0000;63000;Human Resources;4;4;Medium;Divorced;Bachelor;3;12,0000;Yes;4;0;3;Moderately Likely to Churn
158;Chicago;17,5000;86500;Product Management;3;4;Medium;Divorced;Bachelor;4;12,0000;Yes;4;5;2;Highly Likely to Churn'
159;Denver;3,0000;61000;Marketing;3;4;Medium;Married;Bachelor;4;18,0000;Yes;4;0;4;Highly Likely to Churn'
160;Atlanta;10,0000;63500;Marketing;3;3;Short;Married;High School;4;48,0000;Yes;4;3;3;Highly Likely to Churn'
161;Scranton;8,0000;52500;Quality Assurance;4;4;Long;Married;Bachelor;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
162;Boston;13,0000;78000;Marketing;4;4;Medium;Divorced;Bachelor;4;18,0000;Yes;5;2;4;Moderately Likely to Churn
163;Philadelphia;13,0000;68500;Administration;3;4;Long;Married;Bachelor;4;30,0000;Yes;4;4;3;Moderately Likely to Churn
164;New York;7,0000;67000;Marketing;2;4;Short;Married;Bachelor;4;12,0000;Yes;3;0;2;Highly Likely to Churn'
165;San Francisco;17,5000;88500;Accounting;3;4;Medium;Married;Master;3;24,0000;Yes;3;5;2;Highly Likely to Churn'
166;Atlanta;9,0000;53500;Operations;5;4;Long;Married;High School;4;63,0000;Yes;3;1;2;Highly Likely to Churn'
167;Philadelphia;14,0000;78500;Sales;5;4;Short;Married;Bachelor;4;24,0000;Yes;4;3;3;Moderately Likely to Churn
168;New York;6,0000;73000;Facilities Management;2;4;Medium;Married;Bachelor;4;12,0000;Yes;3;0;3;Moderately Likely to Churn
169;Chicago;12,0000;65500;Research and Development;4;4;Short;Divorced;Bachelor;3;6,0000;Yes;3;0;2;Highly Likely to Churn'
170;Chicago;7,0000;71000;Sales;4;3;Short;Divorced;Bachelor;3;34,6456;Yes;3,5;1;3;Moderately Likely to Churn
171;Boston;13,0000;71000;Sales;5;4;Short;Married;High School;4;40,0000;Yes;5;2;5;Moderately Likely to Churn
172;Boston;13,0000;74500;IT Support;2;4;Medium;Married;Bachelor;4;36,0000;Yes;4;0;4;Moderately Likely to Churn
173;Los Angeles;4,0000;68000;Customer Service;2;4;Short;Married;Bachelor;4;6,0000;Yes;4;0;3;Moderately Likely to Churn
174;Philadelphia;7,0000;66000;Legal;5;4;Long;Married;Bachelor;4;18,0000;Yes;4;1;3;Moderately Likely to Churn
175;Atlanta;6,0000;64000;Procurement;2;4;Medium;Single;Bachelor;3;30,0000;Yes;5;0;3;Highly Likely to Churn'
176;Philadelphia;17,5000;71000;Human Resources;3;4;Short;Married;High School;4;34,6456;Yes;4;5;3;Moderately Likely to Churn
177;New York;6,0000;66500;Customer Service;3;4;Short;Single;Bachelor;3;30,0000;Yes;4;0;3;Moderately Likely to Churn
178;New York;7,0000;64500;Human Resources;3;4;Long;Married;High School;3;40,0000;Yes;3;1;2;Highly Likely to Churn'
179;Chicago;5,0000;64000;Accounting;2;4;Medium;Single;Bachelor;4;12,0000;Yes;4;0;3;Moderately Likely to Churn
180;Philadelphia;12,0000;77500;Sales;3;4;Long;Married;Bachelor;4;5,1960;Yes;3,5;4;4;Moderately Likely to Churn
181;Chicago;8,0000;59000;Customer Service;4;4;Medium;Married;High School;3;63,0000;Yes;3;1;2;Highly Likely to Churn'
182;Los Angeles;5,0000;60500;Human Resources;4;4;Medium;Single;Bachelor;3;36,0000;Yes;3;0;2;Highly Likely to Churn'
183;Philadelphia;8,0000;76500;Accounting;3;4;Short;Divorced;Master;4;12,0000;Yes;3;2;2;Highly Likely to Churn'
184;Los Angeles;5,0000;64000;Customer Service;1;4;Short;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
185;Atlanta;11,0000;63000;Sales;3;4;Long;Married;High School;3;63,0000;Yes;4;0;3;Highly Likely to Churn'
186;New York;6,0000;67500;Accounting;4;4;Short;Married;Bachelor;4;36,0000;Yes;5;0;3;Moderately Likely to Churn
187;Dallas;16,0000;76000;Accounting;3;4;Short;Married;Bachelor;4;36,0000;Yes;4;0;3;Moderately Likely to Churn
188;Boston;14,0000;71000;Procurement;2;4;Long;Married;Bachelor;3;34,6456;Yes;3;4;3;Moderately Likely to Churn
189;Scranton;6,0000;74000;Sales;3;4;Medium;Married;Bachelor;4;24,0000;Yes;4;0;2;Highly Likely to Churn'
190;Philadelphia;8,0000;71500;Sales;4;4;Long;Divorced;Bachelor;4;36,0000;Yes;3;0;4;Moderately Likely to Churn
191;Philadelphia;6,0000;54000;Customer Service;5;4;Short;Divorced;Bachelor;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
192;Los Angeles;6,0000;71500;Marketing;5;4;Medium;Married;Bachelor;4;12,0000;Yes;4;0;3;Moderately Likely to Churn
193;Boston;17,5000;78500;Customer Service;4;3;Short;Married;High School;3;31,4051;Yes;3;3;3;Moderately Likely to Churn
194;Denver;13,0000;77000;Research and Development;4;4;Long;Married;Bachelor;3;18,0000;Yes;3,5;5;1;Highly Likely to Churn'
195;Dallas;9,0000;62000;Accounting;3;4;Medium;Married;High School;3;63,0000;Yes;4;3;4;Moderately Likely to Churn
196;New York;10,0000;81500;Legal;3;3;Long;Single;Bachelor;3;30,0000;Yes;4;4;2;Highly Likely to Churn'
197;Seattle;5,0000;57000;Customer Service;4;4;Medium;Divorced;Bachelor;4;30,0000;Yes;3;0;1;Highly Likely to Churn'
198;Los Angeles;14,0000;88500;Legal;3;4;Medium;Married;Master;4;24,0000;Yes;5;5;3;Moderately Likely to Churn
199;New York;7,0000;64500;Marketing;2;4;Long;Married;Bachelor;4;36,0000;Yes;4;1;3;Moderately Likely to Churn
200;Chicago;4,0000;72000;Sales;3;4;Short;Single;Bachelor;4;24,0000;Yes;3;0;3;Moderately Likely to Churn
201;New York;8,0000;69000;Administration;2;4;Short;Single;Bachelor;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
202;Boston;4,0000;70500;IT Support;4;4;Medium;Divorced;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
203;Los Angeles;6,0000;62000;Procurement;3;4;Short;Married;Bachelor;3;12,0000;Yes;4;0;2;Highly Likely to Churn'
204;Dallas;5,0000;66000;Accounting;4;4;Short;Single;Master;3;30,0000;Yes;4;0;2;Highly Likely to Churn'
205;Denver;5,0000;54500;Marketing;4;4;Short;Married;High School;4;48,0000;Yes;3;0;3;Highly Likely to Churn'
206;Boston;8,0000;70500;IT Support;3;4;Long;Married;High School;3;63,0000;Yes;4;1;3;Moderately Likely to Churn
207;Boston;14,0000;74000;Marketing;3;4;Medium;Single;High School;3;63,0000;Yes;3;5;2;Highly Likely to Churn'
208;San Francisco;4,0000;60500;IT Support;3;4;Medium;Married;Bachelor;3;12,0000;Yes;4;0;3;Moderately Likely to Churn
209;Scranton;6,0000;58500;Legal;4;5;Medium;Married;High School;4;63,0000;Yes;3;0;2;Highly Likely to Churn'
